Name,XS,S,M,L,XL,Dataset
BTree,18 ns,156 ns,1567 ns,16340 ns,63547 ns,normal_200M_uint32
IBTree, ,86875 ns,216744 ns,323133 ns,2000911 ns,normal_200M_uint32
FAST, ,1391 ns,21757 ns,21757 ns,445060 ns,normal_200M_uint32
ALEX, ,2571 ns,33707 ns,289949 ns,2560555 ns,normal_200M_uint32
FST, ,2490 ns,36193 ns,72493 ns,72493 ns,normal_200M_uint32
Wormhole, ,1 ns,1 ns,1 ns,1 ns,normal_200M_uint32
RBS,574487 ns,194376 ns,293453 ns,267914 ns,1208947 ns,normal_200M_uint32
CuckooMap, , , , ,40242102 ns,normal_200M_uint32
RobinHash, , , , ,8938643 ns,normal_200M_uint32
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,normal_200M_uint32
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,fb_200M_uint32
PGM,4910455 ns,5462478 ns,7147547 ns,8676322 ns,8676322 ns,fb_200M_uint32
BTree,18 ns,163 ns,1852 ns,1852 ns,65688 ns,fb_200M_uint32
IBTree, ,92813 ns,294537 ns,228826 ns,228826 ns,fb_200M_uint32
FAST, ,1494 ns,22018 ns,22018 ns,453273 ns,fb_200M_uint32
ALEX, ,419 ns,7901 ns,7901 ns,7901 ns,fb_200M_uint32
FST, ,2607 ns,36506 ns,75971 ns,75971 ns,fb_200M_uint32
Wormhole, ,1 ns,1 ns,1 ns,1 ns,fb_200M_uint32
RBS,263265 ns,529992 ns,219622 ns,468993 ns,1957707 ns,fb_200M_uint32
CuckooMap, , , , ,41127951 ns,fb_200M_uint32
RobinHash, , , , ,10155050 ns,fb_200M_uint32
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,fb_200M_uint32
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,lognormal_200M_uint32
PGM,1771110 ns,1771110 ns,1771110 ns,1771110 ns,1771110 ns,lognormal_200M_uint32
BTree,32 ns,157 ns,1710 ns,7743 ns,49714 ns,lognormal_200M_uint32
IBTree, ,92004 ns,292379 ns,444473 ns,444473 ns,lognormal_200M_uint32
FAST, , , , , ,lognormal_200M_uint32
ALEX, ,4451 ns,58209 ns,491388 ns,10193992 ns,lognormal_200M_uint32
FST, , , , , ,lognormal_200M_uint32
Wormhole, , , , , ,lognormal_200M_uint32
RBS,444990 ns,331162 ns,195285 ns,535918 ns,1084679 ns,lognormal_200M_uint32
CuckooMap, , , , , ,lognormal_200M_uint32
RobinHash, , , , ,406944239 ns,lognormal_200M_uint32
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,lognormal_200M_uint32
RMI,0 ns,0 ns,0 ns,0 ns,0 ns,uniform_dense_200M_uint32
PGM,9775841 ns,9775841 ns,9775841 ns,9775841 ns,9775841 ns,uniform_dense_200M_uint32
BTree,19 ns,156 ns,1769 ns,15535 ns,63293 ns,uniform_dense_200M_uint32
IBTree, ,92680 ns,322835 ns,358158 ns,1976312 ns,uniform_dense_200M_uint32
FAST, ,1441 ns,18688 ns,18688 ns,452274 ns,uniform_dense_200M_uint32
ALEX, ,219 ns,3428 ns,147790 ns,2437657 ns,uniform_dense_200M_uint32
FST, ,2218 ns,35688 ns,35688 ns,35688 ns,uniform_dense_200M_uint32
Wormhole, ,0 ns,2 ns,2 ns,2 ns,uniform_dense_200M_uint32
RBS,471663 ns,567826 ns,243899 ns,377518 ns,1292170 ns,uniform_dense_200M_uint32
CuckooMap, , , , ,40227199 ns,uniform_dense_200M_uint32
RobinHash, , , , ,6265983 ns,uniform_dense_200M_uint32
BinarySearch,0 ns,0 ns,0 ns,0 ns,0 ns,uniform_dense_200M_uint32
