FAST,4096,718.475,893184,2235132,BinarySearch,fb_200M_uint64
FAST,8192,729.249,446592,1115765,BinarySearch,fb_200M_uint64
FST,128,1056.93,14338401,98871601,BinarySearch,fb_200M_uint64
FST,256,1014.12,7067570,46240247,BinarySearch,fb_200M_uint64
FST,512,1005.54,3526746,20921857,BinarySearch,fb_200M_uint64
FST,1024,1019.9,1881399,10455761,BinarySearch,fb_200M_uint64
FST,2048,1146.39,906854,4970228,BinarySearch,fb_200M_uint64
FST,4096,1217.11,454814,2542182,BinarySearch,fb_200M_uint64
FST,8192,1281.84,228800,1307942,BinarySearch,fb_200M_uint64
Wormhole,512,1028.66,12499968,7576,BinarySearch,fb_200M_uint64
Wormhole,1024,957.27,6249984,1044,BinarySearch,fb_200M_uint64
Wormhole,2048,943.884,3124992,851,BinarySearch,fb_200M_uint64
Wormhole,4096,973.495,1562496,777,BinarySearch,fb_200M_uint64
Wormhole,6384,1004.44,1002496,750,BinarySearch,fb_200M_uint64
Wormhole,5536,1013.2,1156064,740,BinarySearch,fb_200M_uint64
Wormhole,62144,988.613,102976,623,BinarySearch,fb_200M_uint64
RBS,28,793.702,1073741828,1355106977,BinarySearch,fb_200M_uint64
RBS,26,800.76,268435460,913280114,BinarySearch,fb_200M_uint64
RBS,24,789.97,67108868,803996262,BinarySearch,fb_200M_uint64
RBS,22,786.991,16777220,772723269,BinarySearch,fb_200M_uint64
RBS,20,800.775,4194308,767182231,BinarySearch,fb_200M_uint64
RBS,18,798.567,1048580,764848547,BinarySearch,fb_200M_uint64
RBS,16,796.887,262148,764420630,BinarySearch,fb_200M_uint64
RBS,14,796.79,65540,768162805,BinarySearch,fb_200M_uint64
RBS,12,788.967,16388,765564971,BinarySearch,fb_200M_uint64
RBS,10,789.663,4100,765532807,BinarySearch,fb_200M_uint64
RBS,8,800.411,1028,768522335,BinarySearch,fb_200M_uint64
RobinHash,0,113.307,8589934592,11984143221,BinarySearch,fb_200M_uint64
