Name,XS,S,M,L,XL,Dataset
IBTree, ,523 ns,455 ns,353 ns,341 ns,uniform_dense_200M_uint32
FAST, ,646 ns,504 ns, ,488 ns,uniform_dense_200M_uint32
ALEX, ,638 ns,431 ns,408 ns,262 ns,uniform_dense_200M_uint32
FST, ,1039 ns,740 ns,983 ns, ,uniform_dense_200M_uint32
Wormhole, ,1009 ns,968 ns,1003 ns, ,uniform_dense_200M_uint32
RBS,514 ns,412 ns,275 ns,178 ns,102 ns,uniform_dense_200M_uint32
CuckooMap, , , , ,125 ns,uniform_dense_200M_uint32
RobinHash, , , , ,86 ns,uniform_dense_200M_uint32
BinarySearch,777 ns,777 ns,777 ns,777 ns,777 ns,uniform_dense_200M_uint32
RMI,260 ns,91 ns,92 ns, , ,normal_200M_uint32
PGM,195 ns, , , , ,normal_200M_uint32
BTree,957 ns,698 ns,568 ns,555 ns,524 ns,normal_200M_uint32
IBTree, ,659 ns,507 ns,430 ns,411 ns,normal_200M_uint32
FAST, ,641 ns,497 ns, ,475 ns,normal_200M_uint32
ALEX, ,658 ns,485 ns,390 ns,250 ns,normal_200M_uint32
FST, ,1049 ns,897 ns,762 ns, ,normal_200M_uint32
Wormhole, ,982 ns,962 ns,1065 ns, ,normal_200M_uint32
RBS,491 ns,420 ns,292 ns,200 ns,122 ns,normal_200M_uint32
CuckooMap, , , , ,125 ns,normal_200M_uint32
RobinHash, , , , ,99 ns,normal_200M_uint32
BinarySearch,767 ns,767 ns,767 ns,767 ns,767 ns,normal_200M_uint32
RMI,334 ns,258 ns,226 ns,208 ns,195 ns,books_200M_uint32
PGM,550 ns,448 ns,367 ns,330 ns,380 ns,books_200M_uint32
BTree,922 ns,692 ns,566 ns,570 ns,532 ns,books_200M_uint32
IBTree, ,655 ns,497 ns,495 ns,540 ns,books_200M_uint32
FAST, , , , , ,books_200M_uint32
ALEX, ,646 ns,463 ns,418 ns,279 ns,books_200M_uint32
FST, , , , , ,books_200M_uint32
Wormhole, , , , , ,books_200M_uint32
RBS,471 ns,396 ns,272 ns,187 ns,134 ns,books_200M_uint32
CuckooMap, , , , , ,books_200M_uint32
RobinHash, , , , ,110 ns,books_200M_uint32
BinarySearch,768 ns,768 ns,768 ns,768 ns,768 ns,books_200M_uint32
RMI,368 ns,208 ns,132 ns,125 ns, ,lognormal_200M_uint32
PGM,232 ns, , , , ,lognormal_200M_uint32
BTree,923 ns,700 ns,560 ns,538 ns,523 ns,lognormal_200M_uint32
IBTree, ,700 ns,535 ns,465 ns,545 ns,lognormal_200M_uint32
FAST, , , , , ,lognormal_200M_uint32
ALEX, ,659 ns,482 ns,391 ns,306 ns,lognormal_200M_uint32
FST, , , , , ,lognormal_200M_uint32
Wormhole, , , , , ,lognormal_200M_uint32
RBS,622 ns,557 ns,415 ns,310 ns,199 ns,lognormal_200M_uint32
CuckooMap, , , , , ,lognormal_200M_uint32
RobinHash, , , , ,399 ns,lognormal_200M_uint32
BinarySearch,762 ns,762 ns,762 ns,762 ns,762 ns,lognormal_200M_uint32
RMI,497 ns,372 ns,294 ns,282 ns,208 ns,fb_200M_uint32
PGM,629 ns,578 ns,450 ns,370 ns,380 ns,fb_200M_uint32
BTree,897 ns,682 ns,568 ns,568 ns,524 ns,fb_200M_uint32
IBTree, ,578 ns,517 ns,490 ns,551 ns,fb_200M_uint32
FAST, ,638 ns,510 ns, ,479 ns,fb_200M_uint32
ALEX, ,633 ns,462 ns,489 ns,464 ns,fb_200M_uint32
FST, ,1008 ns,884 ns,853 ns, ,fb_200M_uint32
Wormhole, ,1002 ns,997 ns,1047 ns, ,fb_200M_uint32
RBS,438 ns,397 ns,269 ns,199 ns,129 ns,fb_200M_uint32
CuckooMap, , , , ,162 ns,fb_200M_uint32
RobinHash, , , , ,146 ns,fb_200M_uint32
BinarySearch,768 ns,768 ns,768 ns,768 ns,768 ns,fb_200M_uint32
